replication,scenario,liters,operation_h,pause_h,monitored_h,efficiency
34,s3_integrated,285216.7709135535,130.77780852323377,109.29438397676606,240.0721924999998,0.5447436754810072
35,baseline,190551.93447642692,90.46907999999989,128.56669416666668,219.03577416666656,0.41303335194533586
35,s1_5s_visual,195105.6163326739,92.54582226225152,126.48995190441505,219.03577416666656,0.4225146445339676
35,s2_tpm,231161.25578312264,108.73588972459049,110.29988444207599,219.03577416666656,0.49642981900231625
35,s3_integrated,253741.50767819345,118.94302447934916,100.0927496873173,219.03577416666656,0.5430301279865096
36,baseline,178809.41146713504,90.61773055555557,132.76495972222202,223.3826902777776,0.4056613806686271
36,s1_5s_visual,182407.46814625445,92.30761741001393,131.07507286776365,223.3826902777776,0.41322636635465754
36,s2_tpm,222980.15732582516,110.88006249472515,112.50262778305245,223.3826902777776,0.49636819377922786
36,s3_integrated,246120.30721119203,121.28104529323438,102.10164498454321,223.3826902777776,0.5429294684490581
37,baseline,204376.46048181158,93.89302277777782,136.53689694444427,230.42991972222208,0.40746888637970136
37,s1_5s_visual,210283.76082535356,96.30563552685207,134.12428419537,230.42991972222208,0.41793893624120637
37,s2_tpm,244585.2708687588,112.51636475527732,117.91355496694466,230.42991972222208,0.4882888684373678
37,s3_integrated,270616.3876754289,123.59230913705194,106.83761058517011,230.42991972222208,0.5363553018029933
38,baseline,200586.12366739925,93.39895361111095,124.8924613888889,218.29141499999986,0.4278636134687707
38,s1_5s_visual,204909.47253865303,95.19667885075567,123.09473614924421,218.29141499999986,0.4360990506692887
38,s2_tpm,242551.7703389988,112.75307838404905,105.53833661595077,218.29141499999986,0.5165254821590172
38,s3_integrated,265326.9661555766,122.61303217376286,95.67838282623694,218.29141499999986,0.5616942479105875
39,baseline,192815.80434627712,92.07426555555546,136.2309194444444,228.3051849999999,0.4032946757453428
39,s1_5s_visual,197820.71820132772,94.04307012658118,134.26211487341865,228.3051849999999,0.41191824060667404
39,s2_tpm,233575.31176863296,111.52212036501022,116.78306463498959,228.3051849999999,0.4884782637109633
39,s3_integrated,256987.13161718205,121.68211442846177,106.62307057153805,228.3051849999999,0.5329800741426955
40,baseline,233242.49683398296,108.81487972222214,129.55365333333324,238.36853305555536,0.4564985081183564
40,s1_5s_visual,238249.2049206319,110.89351314584178,127.47501990971364,238.36853305555536,0.4652187590548975
40,s2_tpm,274147.59138707345,127.41725512806094,110.9512779274944,238.36853305555536,0.5345389070224484
40,s3_integrated,298913.16201894725,137.95161047523612,100.41692258031924,238.36853305555536,0.5787324723900719
41,baseline,200229.76589543762,96.97734388888881,128.15139444444438,225.12873833333316,0.43076394691690095
41,s1_5s_visual,205578.24745216404,99.38787496017271,125.74086337316047,225.12873833333316,0.4414712919192737
41,s2_tpm,238551.3513152574,114.14928286519807,110.97945546813504,225.12873833333316,0.5070400327841966
41,s3_integrated,262473.3195761952,124.60086852902229,100.5278698043109,225.12873833333316,0.5534649616546692
42,baseline,194836.13328457734,94.1847386111111,134.95989083333322,229.14462944444423,0.4110274757015243
42,s1_5s_visual,199450.2999940722,96.1506935747606,132.9939358696837,229.14462944444423,0.419607013299311
42,s2_tpm,234323.80111879567,112.60760449152777,116.53702495291651,229.14462944444423,0.4914258944865619
42,s3_integrated,258204.4132965085,122.80323934896585,106.34139009547842,229.14462944444423,0.5359202161826765
43,baseline,201387.615759798,101.88050916666666,138.1104833333332,239.9909924999999,0.4245180542210004
43,s1_5s_visual,205715.62175981706,103.82014258722427,136.17084991277565,239.9909924999999,0.43260016347165325
43,s2_tpm,243483.5626327805,122.27526418516058,117.71572831483927,239.9909924999999,0.5094993895871348
43,s3_integrated,266528.7311518819,132.8065916904946,107.18440080950525,239.9909924999999,0.5533815678123614
44,baseline,223004.9604375049,102.27855944444443,143.06705361111096,245.34561305555542,0.41687543612725914
44,s1_5s_visual,229186.94488345287,104.87691865258633,140.46869440296913,245.34561305555542,0.42746604410994
44,s2_tpm,268358.85450102855,122.2177775397308,123.12783551582459,245.34561305555542,0.49814535510792335
44,s3_integrated,294369.688334896,133.14868485447417,112.19692820108122,245.34561305555542,0.5426984538106427
45,baseline,213121.3609213025,101.80991499999995,146.43236361111107,248.24227861111083,0.4101231892069941
45,s1_5s_visual,217539.24836045934,103.74614165787476,144.49613695323615,248.24227861111083,0.41792293495823274
45,s2_tpm,265816.2274027354,126.52014400804902,121.72213460306195,248.24227861111083,0.509663965042199
45,s3_integrated,291226.2276224844,137.77041755975867,110.47186105135222,248.24227861111083,0.5549836970985342
